input_tokens,output_tokens,resolution,num_images,trial,latency,cost
1000,256,850x1100,0,4,0.8503433340229094,0.00015375
1000,256,850x1100,0,5,1.0802079580025747,0.00015375
1000,256,850x1100,0,2,1.1321739159757271,0.00015375
1000,256,850x1100,0,10,1.1909591249423102,0.00015375
1000,256,850x1100,0,9,1.2602996249916032,0.00015315
1000,256,850x1100,0,6,1.2835562910186127,0.00015315
1000,256,1700x2200,0,9,1.1731978750322014,0.00015375
1000,256,850x1100,0,7,1.3334156249184161,0.00015375
1000,256,850x1100,0,1,1.3404245839919895,0.00015375
1000,256,1700x2200,0,4,1.1988631249405444,0.00015315
1000,256,1700x2200,0,10,1.1973323749843985,0.00015375
1000,256,1700x2200,0,7,1.2288449159823358,0.00015315
1000,256,1700x2200,0,1,1.235744292032905,0.00015375
1000,256,1700x2200,0,3,1.23421512497589,0.00015315
1000,256,1700x2200,0,2,1.2497423749882728,0.00015315
1000,256,1700x2200,0,5,1.2523657919373363,0.00015375
1000,256,1700x2200,0,6,1.2566955829970539,0.00015315
1000,256,1700x2200,0,8,1.3012277920497581,0.00015375
1000,256,850x1100,0,3,1.6337766669457778,0.00015375
1000,256,850x1100,0,8,1.9182187089463696,0.00015315
1000,256,1700x2200,2,2,1.5804357080487534,0.0009166500000000001
1000,256,1700x2200,2,6,1.4349689580267295,0.00090645
1000,256,850x1100,3,2,2.560892540961504,0.0010395
1000,256,1700x2200,2,9,1.7236389580648392,0.0009166500000000001
1000,256,850x1100,1,2,4.015196082997136,0.0004962
1000,256,850x1100,1,10,4.181509500020184,0.0004968
1000,256,850x1100,2,2,3.6194027910241857,0.0007792500000000001
1000,256,850x1100,2,9,3.511966917081736,0.0007744500000000001
1000,256,850x1100,2,7,3.533887166995555,0.00076905
1000,256,1700x2200,2,10,1.7965730000287294,0.00091725
1000,256,850x1100,2,5,3.558731292025186,0.0007762500000000001
1000,256,850x1100,2,10,3.517341750091873,0.0007792500000000001
1000,256,2550x3300,0,2,0.5221280000405386,0.00015375
1000,256,1700x2200,2,5,2.5327594579430297,0.0009472500000000001
1000,256,2550x3300,0,1,0.5362878330051899,0.00015375
1000,256,850x1100,2,8,4.08376608393155,0.00079365
1000,256,850x1100,2,6,4.167059124913067,0.00079905
1000,256,1700x2200,2,4,2.683349375030957,0.00094005
1000,256,1700x2200,2,1,2.8504537920234725,0.00095085
